"term","afraid","amused","angry","annoyed","dont_care","happy","inspired","sad"
"clog",0,1.2e-05,85.273535,14.726442,0,1.1e-05,0,0
"apoptosis",1e-06,99.87796,0,0,0.122039,0,0,0
"pilot",49.999104,3e-06,0,0.000111,0,0.001651,0.000168,49.998963
"traumatic",0,0,0,1e-06,0,0,0,99.999999
"animator",0,0,0,0,0,33.229333,66.770667,0
"hideous",93.509769,0,0,0,0,0,0,6.490231
"reasonably",0,27.705796,0,72.291246,0,0.002958,0,0
"deductive",0,31.115377,0,0,0,29.974148,38.910475,0
"perpetuity",0,17.545748,0,5e-06,82.454247,0,0,0
"altair",0,2e-06,4.2e-05,0.000105,8e-06,99.923648,0.076194,2e-06
"brandy",0,0.619622,0,8e-06,1.6e-05,99.380287,0,6.6e-05
"plo",0,24.42688,40.668529,21.558978,0,13.345613,0,0
"chokehold",0,0,85.582304,14.417696,0,0,0,0
"rove",0,0,2.3e-05,99.999977,0,0,0,0
"life-sized",0,0,0,0,20.003779,4e-06,79.996217,0
"generally",20.427887,3.085931,0.000316,71.661341,1e-06,1.264865,3.514371,0.045288
"ruminant",0,100,0,0,0,0,0,0
"bartender",0,0,0,0,48.846862,51.153138,0,0
"attendant",0,0,1e-06,88.410188,11.558181,0.008266,0,0.023365
"costume",0,0,0,0.001086,0.000352,99.998504,5e-05,7e-06
"immortal",0,50.000173,9e-06,0.001738,0,49.997725,0.000354,0
"self-propelled",0,0,37.3595,62.6405,0,0,0,0
"lerner",97.897543,0,2.097066,0,0,0.005391,0,0
"pursue",9.7e-05,4.3e-05,56.880797,7.5e-05,8.362993,34.601595,0.001048,0.153352
"cosmology",0,0,0,0,98.93455,1e-06,1.065449,0
"vagabond",0,0,99.999999,0,0,1e-06,0,0
"unfulfilled",0,0,1e-05,0,24.259578,0,75.740412,0
"adp",81.051191,0,0,0,0,18.948771,0,3.8e-05
"toxicology",0,69.014393,0,0.001335,0,0,0,30.984272
"bearish",0,66.438438,0,0,33.561562,0,0,0
"seahorse",0,0.020945,3.354999,0,0,33.387371,63.236685,0
"barbarian",0,0,0,0.000295,99.9997,5e-06,0,0
"singaporean",4e-06,0,2.9e-05,2.3e-05,49.999998,0.001519,0,49.998427
"scruffy",0,99.894672,0,0,0,0.001083,0.104111,0.000134
"open",0.002272,5.320863,0.012794,0.026322,23.27083,56.502427,11.067939,3.796554
"lipstick",0,99.999148,3.7e-05,0.000555,0,0.000259,0,1e-06
"wind",49.997985,7e-06,0.000151,7.9e-05,1e-06,43.280718,6.653063,0.067996
"bohemian",0.000869,4.494656,2e-05,0,2.6e-05,95.473998,0.030339,9.2e-05
"barracuda",0,0,0,0,0,0,100,0
"portsmouth",0,6.328252,0,57.366322,0,1e-06,0,36.305426
"spiel",0,99.999999,0,0,0,1e-06,0,0
"fettuccine",0,99.999991,0,0,0,9e-06,0,0
"brezhnev",0,0,0,0,0,19.093087,0.000195,80.906718
"tact",8.774894,6.020275,0,0,74.426674,0,0,10.778157
"mansfield",0,0,0,0,0,41.908175,0,58.091825
"revolting",0,0,0,0,0,0,0,100
"wide-angle",0,0,0,0,65.332206,22.985633,11.682161,0
"blackboard",0,0,0,0,0,1e-06,99.999999,0
"freshen",0,7e-06,0,0,0,2e-06,99.999991,0
"dogged",0,0,0,0,0,0,100,0
"isolated",0,0,0,1.1e-05,0,6e-06,0,99.999983
"congested",0,0,1e-06,0.001469,62.774793,5e-06,4.1e-05,37.223691
"damn",0,0,10.393934,0.012609,33.205386,49.062576,0.924852,6.400643
"mythic",0,33.893097,0,45.43212,0,7e-06,1e-06,20.674775
"greatness",0,0,0,0,99.999468,2e-05,0.000513,0
"yoga",0,9e-06,0,2.9e-05,0,1.4e-05,99.999946,2e-06
"legitimately",0,0,99.755017,0.244736,0,7.8e-05,0,0.000169
"fjord",3e-06,7e-06,2.215642,0,0,29.87532,0,67.909028
"rotationally",0,65.895239,0,0,34.104761,0,0,0
"passenger",1.183542,0,6e-06,0.009928,0,1e-06,0,98.806524
"individuality",0,0,13.413905,0,86.53495,0.051132,1.2e-05,0
"innate",0,0.379043,1e-06,0.001977,54.849273,1.132914,43.634414,0.002379
"carnivorous",63.991209,31.748817,0,4.259974,0,0,0,0
"egger",0,99.999927,0,0,0,0,7.3e-05,0
"salat",0,0,99.999341,4.2e-05,0,3.5e-05,0.000133,0.000448
"million",2e-06,0.001443,83.676675,0.839099,0,0.27318,15.180485,0.029114
"virgo",0,0,0,100,0,0,0,0
"self-improvement",0,0,0,0,0,0,0,100
"suffocation",0,0,0,0,0,0,0,100
"garuda",1e-06,0,2e-06,0.000158,28.703582,16.914629,54.381571,5.7e-05
"capote",0,0,0,0,0,38.011408,0,61.988592
"earshot",0,0,0,0,0,0,79.860243,20.139757
"stand-alone",42.653746,0,24.068665,0,0,33.277589,0,0
"adhere",0,0,0,0,0,2.7e-05,99.999967,4e-06
"mistaken",0,0,75.042781,24.957217,0,1e-06,0,0
"jersey",8e-06,0.030955,0,0.000174,0,99.968754,0.000108,0
"unfavorable",77.2178,0,0,22.782191,0,9e-06,0,0
"regularize",0,40.201185,19.488454,0,0,0,40.310361,0
"heist",0,0,0,73.173817,0,1e-06,26.826181,0
"washable",0,66.620039,0,0.00029,33.379672,0,0,0
"clerical",0,4e-06,0,0,0,99.999996,0,0
"stuttgart",0,0,0,23.48255,0,76.51745,0,0
"manchester",0,99.988167,0,0.000113,0,0.011697,2.3e-05,0
"wahoo",0,0,99.850297,0,0.149703,0,0,0
"dread",0,0,4.092268,2e-05,0,26.604886,1e-06,69.302824
"undercarriage",36.156498,13.088469,0,9.831013,0,1.606135,0,39.317885
"interpretative",0,99.99998,0,0,0,2e-05,0,0
"defensively",0,77.385939,16.039309,0,0,6.574752,0,0
"sheer",0.001299,0.631021,0.000127,0.000252,3.9e-05,33.944148,4.045358,61.377756
"keyboardist",0.000217,8e-06,0.003,1e-05,6e-06,99.84973,0.000206,0.146823
